Id,Prediction,Lyrics
284,0.0,And a bunch of jewels and a bunch of shoes
285,0.0,"Apple phone, Prada case, kill a weave, rock a lace"
286,1.0,2010 was when I lost my halo
287,1.0,"Hurtin' vibe, man, it hurts inside when I look you in yo eye"
288,1.0,"And after we do that, He's gonna restart the world"
289,1.0,Who's that creeping through my window?
290,0.0,We in the field with sticks like this Arcadia (Pah pah)
291,0.0,"Solitary diamonds, solitary jewels"
292,0.0,"Get the combination to the safe, drug the b****"
293,0.0,"I f*** a b****, I forgot her name (Brr, yuh)"
294,1.0,You got the healin' that I want
295,1.0,"And you say, ""As long as I'm here, no one can hurt you"
296,0.0,Daytrip took it to ten (Hey)
297,0.0,"My b**** go loco (Go loco, go loco)"
298,1.0,"I'm thinking why not, baby, why not? Oh"
299,0.0,"Blame it on my juice, blame it, blame it on my juice"
300,0.0,We in Suburbans back to back and we gon' fill 'em up with vibes (Let's go)
301,0.0,"You a dork, never been a sport (Dork, yeah)"
302,1.0,"Yeah, I know that I let you down"
303,1.0,And then I got you off your knees
304,1.0,I know the sound of your heart
305,0.0,"I'd rather be dry, but at least I'm alive"
306,0.0,"Givenchy, Givenchy, Givenchy more"
307,0.0,So we could keep this tension in check
308,0.0,"My b**** got good p****, fly her 'cross the country"
309,1.0,"I'm way in the front (The front, front)"
310,0.0,"Bankroll Mafia, Out My Face"
311,0.0,"You was my lil' lady, drive me crazy"
312,0.0,"Are you dumb, stupid, or dumb, huh?"
313,0.0,Tell Drell keep drummin'
314,0.0,"Movin' my soul, yeah, you're spiritual"
315,0.0,"6 God, BlocBoy, 6 God, BlocBoy (Ooh) (Word)"
316,0.0,"Real a** b****, know she got it lit"
317,0.0,All that shame and all that danger
318,1.0,"Oh, when I'm like this, you're the one I trust"
319,1.0,He beggin' me for the treatment
320,0.0,"Pop it, pop it, daydreaming 'bout how I rock it"
321,0.0,"Yes, I understand your reluctancy, yeah"
322,1.0,'Cause everybody wants something from me now
323,1.0,"Sounds good, feels good"
324,0.0,I was dropping off the mandem in my Polo
325,0.0,"Rich who? Got bricks, too"
326,0.0,"If you don't got your nails done, you are not it (Woo)"
327,1.0,"By the time you read it, I'll be far away"
328,0.0,"With your girlfriend, girlfriend, girlfriend, girlfriend"
329,0.0,"Everybody 'round me sayin' I should relax, 'cause"
330,1.0,"I make no promises, I can't do golden rings"
331,0.0,"I just want my money, chips, guap, and queso"
332,0.0,"Tryna get my n****s all a milli, stack it to the ceilin' (ceilin')"
333,1.0,"Godd***, Roxanne"
334,0.0,"Piguets, they wet, tears ('Guets)"
335,1.0,"I want you to be happier, I want you to be happier"
336,1.0,I think broken heart's contagious
337,0.0,"(Taste, taste), ayy, Portland, you can get a taste"
338,0.0,It's a big gap between us in the game
339,1.0,"Untouchable, untouchable"
340,0.0,"Chris Brown & Young Thug, Slime & B"
341,1.0,"It feels so good, it should cost"
342,0.0,"Ooh, ahh, ahh, ahh"
343,1.0,"Girl, it's all on you (it's all on you)"
344,0.0,Palm Angels down to my sock
345,0.0,"Hot d***, hot water, hot shower"
346,1.0,I needed to lose you to love me
347,0.0,"Yeah, yeah, yeah"
348,1.0,"I've always been told, one day, I'll find"
349,0.0,"Please don't get me hyped (I'm hype), write my name in ice (Ice)"
350,1.0,How could you? Wish you had never played me
351,0.0,"But that don't make a difference, I'ma have to risk it"
352,1.0,"Checklist, 1 2 3 (1 2 3)"
353,0.0,"Don't f*** with me, don't say that (Don't say that)"
354,0.0,"Lean with me, pop with me"
355,1.0,"Work, work, work"
356,1.0,"I would drown for your loving, what's wrong with me?"
357,1.0,"Oh my God, Ronny"
358,1.0,Don't have to be reserved in a booth
359,1.0,Cause I want to
360,0.0,"Black excellence, but I guess when it comes to me it's not the same though, all goodie"
361,1.0,"Baby, never mind, never mind"
362,1.0,"Got me speaking in tongues, the beautiful it comes"
363,0.0,"I'm relivin' moments, peeling more residual"
364,0.0,"This real rap, no mumble (Yeah, yeah, yeah, yeah, yeah)"
365,1.0,"It's no better feeling, you know"
366,0.0,"We in the buildin', we came for a billion, ain't nobody playin'"
367,0.0,"Ayy, I left it on the suicide door b****"
368,1.0,"I'm a cool girl, I'm a, I'm a cool girl"
369,0.0,They say the dope on fleek (yep)
370,0.0,"But you feel the heat (skrrt, yah, ayy)"
371,1.0,"Come on, back it up for me"
372,0.0,"It's a short life, yeah"
373,0.0,"All this jewelry, they gon' notice me"
374,1.0,Too close to the bottom
375,0.0,I made it through the darkest part of the night
376,0.0,Or maybe I'm just missing something I haven't had yet
377,0.0,"Yeah, we can all get paid"
378,0.0,I hate your friends and they hate me too
379,0.0,You could hit it in the mornin' (In the mornin')
380,0.0,Gang! Gang! Them boys not flexing the same
381,0.0,What the venue probably was just payin' out
382,0.0,"You know it's Baby, n****"
383,1.0,My favorite color is you
384,0.0,"Clean up my yard, get the noose out"
385,0.0,I know when that hotline bling
386,0.0,I heard it's some n****s that's on my head (Brr)
387,0.0,"Let me see some, okay, okay (I see it), okay, okay (Right)"
388,1.0,"He don't love me, he don't love me, but that's okay"
389,0.0,p**** a** n**** just talk s***
390,0.0,"I get lost in her eyes, like dust from the skies"
391,0.0,"'Cause you know you can't go leave your gun in the car, d*** (The f***?)"
392,1.0,I'm the one do what I wanna
393,1.0,"It's alright, it's okay"
394,1.0,Are we in the clear yet? In the clear yet? Good
395,1.0,"Yeah, there's somethin' 'bout you boy"
396,0.0,It really boils down to how you plan to survive
397,0.0,I got your BM wan' put on Amiris
398,0.0,"But it was too late, you left me stained, called it art"
399,0.0,(Are you on ten yet?)
400,1.0,We hold each other so tight they couldn't break us if they tried
401,0.0,My earrings like baseballs
402,0.0,Runnin' out of space for the bags in her closet
403,0.0,"Know that I can't get much higher, word to my supplier"
404,0.0,Tryna keep our feelings secretly covered
405,0.0,New freezer (ice)
406,1.0,I know you only like me
407,0.0,"Big Birkin bag, hold five, six figures"
408,0.0,"The way I speak, it's my melody"
409,1.0,"Baby boy, your love, got me trippin' on you"
410,1.0,You left your burn (In my heart)
411,1.0,"Any promises now, can we, babe?"
412,1.0,"Nah to the ah to the no, no, no"
413,0.0,"Spent six hunnid eatin' lunch (No cap), got tired of honey buns (Ayy)"
414,0.0,"Time (Oh), time (Oh)"
415,1.0,'Cause I've been wrong about a million times
416,1.0,Tell me what makes you stay
417,0.0,"And no matter what they say, it's my day"
418,1.0,Why I got you on my mind
419,0.0,Pull up if you're feeling lonely
420,1.0,Why'd you have to go and make me like you?
421,1.0,Or you can slip out in the night
422,0.0,Got a new house and a condo where I keep my s*** (Where I keep my s***)
423,0.0,You cannot break down (You can't) what can't be broken
424,0.0,"He dropped his mixtape, thought I woulda repost it"
425,0.0,"In the kitchen, curry chicken, call it stir fry"
426,1.0,With my legs up on the dashboard
427,0.0,"In the Rolls truck, I feel like a tourist"
428,1.0,'Cause it stop hurtin' but never forgettin' what it was
429,0.0,Got me acting like you got a milli on you
430,0.0,Everybody wanna f*** with me for benefits now
431,1.0,You got the healing that I want
432,0.0,You push right through me (Push right through me)
433,1.0,But I think it's cause I remembered for the first time
434,1.0,"Yeah, I just gotta tell you"
435,0.0,Only come around and f*** with me when the boy winnin' (when the boy winnin')
436,0.0,"No, you can't make me behave"
437,0.0,"b****es must be eatin' a**, because I swear they're bottom feeders"
438,0.0,"Left foot up, right foot, slide"
439,0.0,"You f*** around and get poled (You get poled, b****)"
440,1.0,"La, la, la, la, la, la"
441,1.0,"I'm so sick of this fake love, fake love, fake love"
442,1.0,(You in the middle)
443,0.0,"They tryna keep up, so they stalkin' my page"
444,1.0,You probably never loved someone like I do
445,1.0,I swear I'll find you
446,0.0,"Yeah, yeah (Ooh)"
447,0.0,They keep sayin' we too wild (Baow)
448,0.0,"Back it up, back it up (back it up, back it up)"
449,0.0,And you tested my manhood as we yelled at each other
450,0.0,"You don't gotta die, now let me tell you why"
451,1.0,Would you tell me that you miss me back? (Me back)
452,1.0,Why'd you have to go and make me like you?
453,1.0,"And go with you, I'll go with you"
454,1.0,"Wait, can you turn around, can you turn around? (no)"
455,1.0,I shake my head in frustration
456,0.0,"In the kitchen, wrist twistin' like it's stir fry (Whip it)"
457,1.0,"I hope you can take it, oh"
458,1.0,"Oh, I wish, oh, I wish, oh, I wish, oh, I wish, I"
459,0.0,Leave me just as empty as the day you came
460,0.0,"Make no sense, nah, uh, make no sense, YoungBoy"
461,0.0,I done went to New York to spend at Dior (Yeah)
462,0.0,"Metro Boomin want some more, n****! (Hey)"
463,0.0,You gotta be nice for what to these n****s?
464,0.0,"Now you never call back, please (Please)"
465,1.0,When she told me she was crazy from the start
466,0.0,"Still that same n**** in a foreign, but it's stolen"
467,0.0,Where you dey go? (go) We dey go up
468,1.0,"Last night, we met at one"
469,1.0,"I'm a hater, I'm a user"
470,0.0,I know a b**** named Liz
471,1.0,Don't let me stay on your mind
472,0.0,From the block like you Jenny
473,1.0,"Diddily, diddily, diddily, diddily"
474,0.0,Shawty look good in the moonlight
475,1.0,I gotta tell them to myself
476,1.0,Tryna do what lovers do
477,0.0,"It goes in one ear out the other, oh"
478,0.0,"Look, baby, I'm the whole d*** meal (Ooh, baby)"
479,0.0,"I tell the b**** to beat it, take the scenic route"
480,0.0,"Gotta hit the club, gotta make that a** jump"
481,0.0,"But he never put no scrubs on from Snoop, K. Dot to Shady"
482,0.0,"Yeah, she like how I throw them racks, yeah, yeah, yeah, yeah, yeah"
483,0.0,You know that I want to be with you all the time
484,0.0,Drunk to an '80s groove (Ayy)
485,1.0,I want it that way
486,0.0,"She gon' make you move to Miami (to Miami, move to Miami)"
487,1.0,"Nothing new under the sun, nobody f***ing with son"
488,0.0,"To hit my f***in' radar, I'm so far away"
489,0.0,"Persian rug, Aladdin s***"
490,0.0,Hills burn in California
491,1.0,But I was down and out like last week
492,1.0,"Out in Cali', but my mind in the trenches"
493,0.0,"But she was so extra, called her etcetera"
494,0.0,I know your mama taught you look both ways 'fore crossing me (Lil' b****)
495,1.0,"Homie, I don't dance, I jiggy"
496,1.0,s*** could never be like this (Oh)
497,1.0,He don't know your body
498,1.0,Summer music 2018
499,1.0,One time for the Grammy that I never got
500,1.0,"Yeah, we are never, ever going home"
501,1.0,"Always said that you'd be there for me, there for me"
502,0.0,"Wasting time in Cali, ain't really wastin' time"
503,0.0,"Everybody gettin' pop, pop, popped, n****"
504,0.0,I wanna see you bust down (Over)
505,1.0,"Baby, how you feelin'? (Feelin' good as hell)"
506,1.0,I miss those nights when you would come over (Yeah)
507,0.0,"No heroes, villains, one to blame"
508,0.0,"I don't get no paper, I gotta sign at the bottom"
509,0.0,Runnin' up a check with no limit (Ooh)
510,1.0,I'm the bad guy
511,0.0,"Abort the mission, that's a kill (Pew, pew, brrr)"
512,0.0,"Rake it up, rake it up (rake it up, rake it up)"
513,0.0,"Told 'em take me to the moon and drop me off, yeah (Nah, for real, b****, I'm tellin' you)"
514,0.0,Even though you know we fly (Though you know we)
515,1.0,"Wherever I go, you're the ghost in the room"
516,0.0,I should know how to pick up
517,1.0,You been messin' around
518,0.0,"Nails done, hair done, a** too (Ow)"
519,0.0,I'm gonna be the greatest
520,1.0,"When I love you, I love you harder"
521,0.0,Wait for them to ask you who you know (Watch it)
522,0.0,"I'm not fillin' up, baby, I let him gas me (Uh)"
523,0.0,Go get some money and feed your fam
524,1.0,Another one (Another one)
525,1.0,"(Yeah, eh)  Falling in love, falling in love"
526,0.0,Where does the pain go? (Where?)
527,0.0,"Lil Yatchy, 1 Night"
528,0.0,"I just signed a deal, I'm on"
529,0.0,"I got bands for real, diamonds on me, they dance for real"
530,1.0,"Yeah, that's right"
531,0.0,I don't really want no friends
532,0.0,"Three rockstars, nobody seein' the gang, on God (God)"
533,0.0,"This rich n**** d***, it ain't free"
534,1.0,This has not to do with muscular
535,1.0,Feel your eyes do the exploring
536,1.0,I've been havin' dreams
537,0.0,"I'll pull her tracks out, got her running like it's track now"
538,1.0,I miss you when I can't sleep
539,0.0,"I'm begging you, begging you, please, baby"
540,1.0,"Wanna cry, cry, cry on her"
541,0.0,"b****, I'm a dog, a blue devil"
542,0.0,"Who the f*** you know, n****? No, n****"
543,0.0,"Yeah, step on competition, changin' my shoes"
544,0.0,"Real wise, we ain't taking no advice (Naw)"
545,1.0,"You're driving me wild, wild, wild"
546,1.0,I really hope it hurts like (Oh)
547,0.0,"If the opps try to turn my song off, run it back"
548,0.0,"White X6, killin' on camera"
549,0.0,But you're losin' the fight you picked
550,1.0,Play that music too loud
551,0.0,Probably ridin' around with Starlito
552,0.0,Treat every club like a Magic on Monday
553,0.0,"Early twenties, but I want fifties, hundreds, not pennies"
554,1.0,"Forever grateful, forever thankful"
555,0.0,One time for them prayin' on my downfall (Yeah)
556,0.0,You say I've done a lot of things I can't undo
557,0.0,Then runnin' back to me in the morning
558,1.0,I hope someday we'll sit down together
559,0.0,"'Cause my doors are suicide, yeah"
560,1.0,"He's only here for one thing, but (So am I)"
561,0.0,"AP, Muller, my Rollie"
562,0.0,"How you gon' lead, when you attackin' the very same n****s that really do need the s*** that you sayin'?"
563,1.0,"The way I used to love you, oh"
564,0.0,"Amex, no cap, eight hundred score"
565,0.0,"I heard you got snatched by the feds, yeah, say you willin' to tell 'em whatever (Yeah)"
566,0.0,I walk on water
567,0.0,"Legs up and tongue out, Michael Jordan, uh (uh)"
568,1.0,"I'm free to be the greatest here tonight, the greatest"
569,1.0,On this one way
570,1.0,Like I'm alive again
571,0.0,"Bobby done put in that work, you gon' pay me a fee, nah"
572,1.0,"Oh my gosh, back at it again (Back at it)"
573,0.0,"I said it's up, up, up, uppity (Yeah)"
574,1.0,"Work, work, work"
575,0.0,"Catch your new lil' n**** and it's on, shawty, I'ma blow"
576,0.0,"They call me Saddam Hussein, Ayatollah Khomeini"
577,0.0,Who you know dropped an album
578,0.0,Forever I'm livin' my life like a bleeder (Slime)
579,1.0,"And loving you so, so, so, so"
580,0.0,I been pullin' up in the drop tops with the baddest b****es
581,0.0,My b**** drive a all white Range
582,1.0,Little voices in my head
583,0.0,"And I be too busy doin' me to see what he do, n****"
584,1.0,That girl still know how to eat meat
585,1.0,"She eat my d*** like it's free, free"
586,0.0,"I got money on my mind, I be stackin' my green (Stacking my green)"
587,1.0,And running into you the place that we met
588,1.0,Sometimes I hate sunshine
589,0.0,I'll promise to build a new world
590,1.0,"f*** around, give you my last name (My last name)"
591,0.0,"Always the bridesmaid, never ""The bride, hey!"""
592,1.0,"I'm provocative, it's my prerogative"
593,0.0,"Raf Simons, mix it up with the Rick"
594,0.0,"Uh, yeah, profit come first"
